weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,6108300,0,ethnicity,0,0,20348
01jan2017,611539,0,ethnicity,1,0,851
01jan2017,5289074,0,gender,1,0,18687
01jan2017,10609465,0,overall,1,0,29938
01jan2017,346665,0,region,1,0,1132
01jan2017,363024,0,ethnicity,2,0,557
01jan2017,5320391,0,gender,2,0,11251
01jan2017,1920097,0,region,2,0,6512
01jan2017,195917,0,ethnicity,3,0,342
01jan2017,398485,0,region,3,0,1267
01jan2017,126099,0,ethnicity,4,0,422
01jan2017,263975,0,region,4,0,887
01jan2017,3204586,0,ethnicity,5,0,7418
01jan2017,1701909,0,region,5,0,4766
01jan2017,482588,0,region,6,0,1091
01jan2017,1226050,0,region,7,0,4032
01jan2017,1260170,0,region,8,0,3282
01jan2017,2056141,0,region,9,0,4660
01jan2017,897506,0,region,10,0,2190
01jan2017,47594,0,region,11,0,45
01jan2017,8285,0,region,12,0,74
01jan2017,1318701,0,age,20,0,2222
01jan2017,1569215,0,age,30,0,7552
01jan2017,1687196,0,age,40,0,6169
01jan2017,1698083,0,age,50,0,5378
01jan2017,1635295,0,age,60,0,4514
01jan2017,1252254,0,age,70,0,2076
01jan2017,894014,0,age,80,0,1196
01jan2017,457046,0,age,90,0,677
01jan2017,97661,0,age,100,0,154
08jan2017,6114352,1,ethnicity,0,0,25227
08jan2017,612289,1,ethnicity,1,0,1054
08jan2017,5293988,1,gender,1,0,23363
08jan2017,10619216,1,overall,1,0,37035
08jan2017,346651,1,region,1,0,1469
08jan2017,363565,1,ethnicity,2,0,737
08jan2017,5325228,1,gender,2,0,13672
08jan2017,1920923,1,region,2,0,8448
08jan2017,196452,1,ethnicity,3,0,404
08jan2017,398725,1,region,3,0,1543
08jan2017,126292,1,ethnicity,4,0,514
08jan2017,263981,1,region,4,0,1136
08jan2017,3206266,1,ethnicity,5,0,9099
08jan2017,1703111,1,region,5,0,6016
08jan2017,482791,1,region,6,0,1445
08jan2017,1227565,1,region,7,0,5008
08jan2017,1261434,1,region,8,0,3942
08jan2017,2059839,1,region,9,0,5295
08jan2017,898290,1,region,10,0,2609
08jan2017,47614,1,region,11,0,55
08jan2017,8292,1,region,12,0,69
08jan2017,1319760,1,age,20,0,2569
08jan2017,1572758,1,age,30,0,9548
08jan2017,1690229,1,age,40,0,7708
08jan2017,1699586,1,age,50,0,6737
08jan2017,1636199,1,age,60,0,5510
08jan2017,1252720,1,age,70,0,2610
08jan2017,893914,1,age,80,0,1376
08jan2017,456697,1,age,90,0,812
08jan2017,97353,1,age,100,0,165
15jan2017,6116018,2,ethnicity,0,0,24164
15jan2017,612741,2,ethnicity,1,0,1040
15jan2017,5295029,2,gender,1,0,22634
15jan2017,10621539,2,overall,1,0,35544
15jan2017,346527,2,region,1,0,1521
15jan2017,363718,2,ethnicity,2,0,682
15jan2017,5326510,2,gender,2,0,12910
15jan2017,1920746,2,region,2,0,7986
15jan2017,196687,2,ethnicity,3,0,419
15jan2017,398778,2,region,3,0,1459
15jan2017,126426,2,ethnicity,4,0,455
15jan2017,263901,2,region,4,0,1090
15jan2017,3205949,2,ethnicity,5,0,8784
15jan2017,1702524,2,region,5,0,5636
15jan2017,482821,2,region,6,0,1331
15jan2017,1229082,2,region,7,0,4746
15jan2017,1261791,2,region,8,0,3760
15jan2017,2061280,2,region,9,0,5165
15jan2017,898206,2,region,10,0,2700
15jan2017,47601,2,region,11,0,72
15jan2017,8282,2,region,12,0,78
15jan2017,1320512,2,age,20,0,2780
15jan2017,1574281,2,age,30,0,9327
15jan2017,1691315,2,age,40,0,7177
15jan2017,1700177,2,age,50,0,6357
15jan2017,1636486,2,age,60,0,5240
15jan2017,1252690,2,age,70,0,2457
15jan2017,893567,2,age,80,0,1313
15jan2017,455758,2,age,90,0,742
15jan2017,96753,2,age,100,0,151
22jan2017,6115844,3,ethnicity,0,0,23591
22jan2017,613360,3,ethnicity,1,0,999
22jan2017,5295050,3,gender,1,0,21967
22jan2017,10621607,3,overall,1,0,34727
22jan2017,346480,3,region,1,0,1371
22jan2017,363898,3,ethnicity,2,0,658
22jan2017,5326557,3,gender,2,0,12760
22jan2017,1920914,3,region,2,0,7603
22jan2017,196989,3,ethnicity,3,0,389
22jan2017,398836,3,region,3,0,1362
22jan2017,126522,3,ethnicity,4,0,459
22jan2017,263768,3,region,4,0,1132
22jan2017,3204994,3,ethnicity,5,0,8631
22jan2017,1702526,3,region,5,0,5394
22jan2017,482818,3,region,6,0,1657
22jan2017,1227408,3,region,7,0,4888
22jan2017,1261052,3,region,8,0,3647
22jan2017,2063710,3,region,9,0,4861
22jan2017,898234,3,region,10,0,2697
22jan2017,47591,3,region,11,0,58
22jan2017,8270,3,region,12,0,57
22jan2017,1320896,3,age,20,0,2833
22jan2017,1575183,3,age,30,0,8949
22jan2017,1692070,3,age,40,0,7019
22jan2017,1700565,3,age,50,0,6271
22jan2017,1636629,3,age,60,0,5124
22jan2017,1252431,3,age,70,0,2364
22jan2017,893026,3,age,80,0,1269
22jan2017,454756,3,age,90,0,756
22jan2017,96051,3,age,100,0,142
29jan2017,6118023,4,ethnicity,0,0,24469
29jan2017,613897,4,ethnicity,1,0,1109
29jan2017,5296350,4,gender,1,0,22941
29jan2017,10624815,4,overall,1,0,36048
29jan2017,346508,4,region,1,0,1386
29jan2017,364157,4,ethnicity,2,0,720
29jan2017,5328465,4,gender,2,0,13107
29jan2017,1921150,4,region,2,0,8065
29jan2017,197213,4,ethnicity,3,0,403
29jan2017,398902,4,region,3,0,1535
29jan2017,126697,4,ethnicity,4,0,461
29jan2017,263707,4,region,4,0,1148
29jan2017,3204828,4,ethnicity,5,0,8886
29jan2017,1702767,4,region,5,0,5787
29jan2017,482897,4,region,6,0,1349
29jan2017,1227590,4,region,7,0,4814
29jan2017,1260981,4,region,8,0,3811
29jan2017,2066100,4,region,9,0,5296
29jan2017,898364,4,region,10,0,2714
29jan2017,47591,4,region,11,0,67
29jan2017,8258,4,region,12,0,76
29jan2017,1321499,4,age,20,0,2855
29jan2017,1576788,4,age,30,0,9371
29jan2017,1693531,4,age,40,0,7141
29jan2017,1701371,4,age,50,0,6495
29jan2017,1636999,4,age,60,0,5430
29jan2017,1252510,4,age,70,0,2508
