weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,6108300,0,ethnicity,0,0,291
01jan2017,611539,0,ethnicity,1,0,16
01jan2017,5289074,0,gender,1,0,443
01jan2017,10609465,0,overall,1,0,481
01jan2017,346665,0,region,1,0,16
01jan2017,363024,0,ethnicity,2,0,6
01jan2017,5320391,0,gender,2,0,38
01jan2017,1920097,0,region,2,0,80
01jan2017,195917,0,ethnicity,3,0,5
01jan2017,398485,0,region,3,0,27
01jan2017,126099,0,ethnicity,4,0,7
01jan2017,263975,0,region,4,0,22
01jan2017,3204586,0,ethnicity,5,0,159
01jan2017,1701909,0,region,5,0,58
01jan2017,482588,0,region,6,0,25
01jan2017,1226050,0,region,7,0,89
01jan2017,1260170,0,region,8,0,67
01jan2017,2056141,0,region,9,0,66
01jan2017,897506,0,region,10,0,29
01jan2017,47594,0,region,11,0,0
01jan2017,8285,0,region,12,0,5
01jan2017,1318701,0,age,20,0,170
01jan2017,1569215,0,age,30,0,177
01jan2017,1687196,0,age,40,0,66
01jan2017,1698083,0,age,50,0,43
01jan2017,1635295,0,age,60,0,17
01jan2017,1252254,0,age,70,0,5
01jan2017,894014,0,age,80,0,5
01jan2017,457046,0,age,90,0,0
01jan2017,97661,0,age,100,0,0
08jan2017,6114352,1,ethnicity,0,0,384
08jan2017,612289,1,ethnicity,1,0,13
08jan2017,5293988,1,gender,1,0,543
08jan2017,10619216,1,overall,1,0,598
08jan2017,346651,1,region,1,0,15
08jan2017,363565,1,ethnicity,2,0,5
08jan2017,5325228,1,gender,2,0,55
08jan2017,1920923,1,region,2,0,112
08jan2017,196452,1,ethnicity,3,0,7
08jan2017,398725,1,region,3,0,36
08jan2017,126292,1,ethnicity,4,0,9
08jan2017,263981,1,region,4,0,23
08jan2017,3206266,1,ethnicity,5,0,180
08jan2017,1703111,1,region,5,0,69
08jan2017,482791,1,region,6,0,21
08jan2017,1227565,1,region,7,0,103
08jan2017,1261434,1,region,8,0,81
08jan2017,2059839,1,region,9,0,94
08jan2017,898290,1,region,10,0,39
08jan2017,47614,1,region,11,0,5
08jan2017,8292,1,region,12,0,5
08jan2017,1319760,1,age,20,0,203
08jan2017,1572758,1,age,30,0,220
08jan2017,1690229,1,age,40,0,86
08jan2017,1699586,1,age,50,0,54
08jan2017,1636199,1,age,60,0,25
08jan2017,1252720,1,age,70,0,6
08jan2017,893914,1,age,80,0,5
08jan2017,456697,1,age,90,0,0
08jan2017,97353,1,age,100,0,0
15jan2017,6116018,2,ethnicity,0,0,387
15jan2017,612741,2,ethnicity,1,0,14
15jan2017,5295029,2,gender,1,0,549
15jan2017,10621539,2,overall,1,0,591
15jan2017,346527,2,region,1,0,12
15jan2017,363718,2,ethnicity,2,0,6
15jan2017,5326510,2,gender,2,0,42
15jan2017,1920746,2,region,2,0,97
15jan2017,196687,2,ethnicity,3,0,7
15jan2017,398778,2,region,3,0,39
15jan2017,126426,2,ethnicity,4,0,6
15jan2017,263901,2,region,4,0,32
15jan2017,3205949,2,ethnicity,5,0,171
15jan2017,1702524,2,region,5,0,71
15jan2017,482821,2,region,6,0,25
15jan2017,1229082,2,region,7,0,91
15jan2017,1261791,2,region,8,0,72
15jan2017,2061280,2,region,9,0,106
15jan2017,898206,2,region,10,0,43
15jan2017,47601,2,region,11,0,0
15jan2017,8282,2,region,12,0,5
15jan2017,1320512,2,age,20,0,208
15jan2017,1574281,2,age,30,0,231
15jan2017,1691315,2,age,40,0,82
15jan2017,1700177,2,age,50,0,38
15jan2017,1636486,2,age,60,0,21
15jan2017,1252690,2,age,70,0,9
15jan2017,893567,2,age,80,0,5
15jan2017,455758,2,age,90,0,0
15jan2017,96753,2,age,100,0,0
22jan2017,6115844,3,ethnicity,0,0,391
22jan2017,613360,3,ethnicity,1,0,14
22jan2017,5295050,3,gender,1,0,581
22jan2017,10621607,3,overall,1,0,639
22jan2017,346480,3,region,1,0,17
22jan2017,363898,3,ethnicity,2,0,5
22jan2017,5326557,3,gender,2,0,58
22jan2017,1920914,3,region,2,0,120
22jan2017,196989,3,ethnicity,3,0,8
22jan2017,398836,3,region,3,0,33
22jan2017,126522,3,ethnicity,4,0,11
22jan2017,263768,3,region,4,0,21
22jan2017,3204994,3,ethnicity,5,0,210
22jan2017,1702526,3,region,5,0,84
22jan2017,482818,3,region,6,0,26
22jan2017,1227408,3,region,7,0,110
22jan2017,1261052,3,region,8,0,80
22jan2017,2063710,3,region,9,0,103
22jan2017,898234,3,region,10,0,44
22jan2017,47591,3,region,11,0,0
22jan2017,8270,3,region,12,0,5
22jan2017,1320896,3,age,20,0,227
22jan2017,1575183,3,age,30,0,258
22jan2017,1692070,3,age,40,0,84
22jan2017,1700565,3,age,50,0,37
22jan2017,1636629,3,age,60,0,26
22jan2017,1252431,3,age,70,0,5
22jan2017,893026,3,age,80,0,5
22jan2017,454756,3,age,90,0,0
22jan2017,96051,3,age,100,0,0
29jan2017,6118023,4,ethnicity,0,0,393
29jan2017,613897,4,ethnicity,1,0,15
29jan2017,5296350,4,gender,1,0,579
29jan2017,10624815,4,overall,1,0,626
29jan2017,346508,4,region,1,0,17
29jan2017,364157,4,ethnicity,2,0,6
29jan2017,5328465,4,gender,2,0,47
29jan2017,1921150,4,region,2,0,107
29jan2017,197213,4,ethnicity,3,0,11
29jan2017,398902,4,region,3,0,36
29jan2017,126697,4,ethnicity,4,0,6
29jan2017,263707,4,region,4,0,34
29jan2017,3204828,4,ethnicity,5,0,195
29jan2017,1702767,4,region,5,0,68
29jan2017,482897,4,region,6,0,29
29jan2017,1227590,4,region,7,0,104
29jan2017,1260981,4,region,8,0,86
29jan2017,2066100,4,region,9,0,98
29jan2017,898364,4,region,10,0,44
29jan2017,47591,4,region,11,0,5
29jan2017,8258,4,region,12,0,5
29jan2017,1321499,4,age,20,0,203
29jan2017,1576788,4,age,30,0,262
29jan2017,1693531,4,age,40,0,84
29jan2017,1701371,4,age,50,0,57
29jan2017,1636999,4,age,60,0,14
29jan2017,1252510,4,age,70,0,5
29jan2017,892719,4,age,80,0,5
29jan2017,453869,4,age,90,0,0
29jan2017,95529,4,age,100,0,0
05feb2017,6120481,5,ethnicity,0,0,399
05feb2017,614337,5,ethnicity,1,0,14
05feb2017,5297163,5,gender,1,0,586
05feb2017,10626600,5,overall,1,0,634
05feb2017,346454,5,region,1,0,21
05feb2017,364402,5,ethnicity,2,0,5
05feb2017,5329437,5,gender,2,0,48
05feb2017,1921443,5,region,2,0,99
05feb2017,197360,5,ethnicity,3,0,6
05feb2017,399047,5,region,3,0,41
05feb2017,126814,5,ethnicity,4,0,9
05feb2017,263536,5,region,4,0,24
05feb2017,3203206,5,ethnicity,5,0,201
05feb2017,1701466,5,region,5,0,83
05feb2017,482932,5,region,6,0,36
05feb2017,1228061,5,region,7,0,103
05feb2017,1261325,5,region,8,0,78
05feb2017,2068054,5,region,9,0,107
05feb2017,898438,5,region,10,0,38
05feb2017,47583,5,region,11,0,5
05feb2017,8261,5,region,12,0,5
05feb2017,1322011,5,age,20,0,255
05feb2017,1577945,5,age,30,0,219
05feb2017,1694828,5,age,40,0,86
05feb2017,1701901,5,age,50,0,44
05feb2017,1637225,5,age,60,0,22
05feb2017,1252458,5,age,70,0,5
05feb2017,892304,5,age,80,0,5
05feb2017,452929,5,age,90,0,5
05feb2017,94999,5,age,100,0,5
12feb2017,6121971,6,ethnicity,0,0,378
12feb2017,614494,6,ethnicity,1,0,9
12feb2017,5297682,6,gender,1,0,529
12feb2017,10628063,6,overall,1,0,572
12feb2017,346392,6,region,1,0,14
12feb2017,364636,6,ethnicity,2,0,8
12feb2017,5330381,6,gender,2,0,43
12feb2017,1921546,6,region,2,0,104
12feb2017,197241,6,ethnicity,3,0,5
12feb2017,399059,6,region,3,0,44
12feb2017,126912,6,ethnicity,4,0,9
12feb2017,262526,6,region,4,0,14
12feb2017,3202809,6,ethnicity,5,0,163
12feb2017,1701626,6,region,5,0,67
12feb2017,482870,6,region,6,0,21
12feb2017,1228377,6,region,7,0,110
12feb2017,1261270,6,region,8,0,74
12feb2017,2069774,6,region,9,0,99
12feb2017,898778,6,region,10,0,23
12feb2017,47576,6,region,11,0,5
12feb2017,8269,6,region,12,0,5
12feb2017,1322480,6,age,20,0,189
12feb2017,1578338,6,age,30,0,229
12feb2017,1696104,6,age,40,0,89
12feb2017,1702534,6,age,50,0,36
12feb2017,1637515,6,age,60,0,19
12feb2017,1252529,6,age,70,0,6
12feb2017,891918,6,age,80,0,5
12feb2017,452177,6,age,90,0,5
12feb2017,94468,6,age,100,0,0
19feb2017,6123838,7,ethnicity,0,0,397
19feb2017,614696,7,ethnicity,1,0,7
19feb2017,5298371,7,gender,1,0,567
19feb2017,10629744,7,overall,1,0,613
19feb2017,346117,7,region,1,0,15
19feb2017,364793,7,ethnicity,2,0,5
19feb2017,5331373,7,gender,2,0,46
19feb2017,1921521,7,region,2,0,111
19feb2017,197315,7,ethnicity,3,0,7
19feb2017,399059,7,region,3,0,30
19feb2017,126987,7,ethnicity,4,0,10
19feb2017,262539,7,region,4,0,23
19feb2017,3202115,7,ethnicity,5,0,190
19feb2017,1701479,7,region,5,0,66
19feb2017,482868,7,region,6,0,28
19feb2017,1228565,7,region,7,0,101
19feb2017,1261303,7,region,8,0,102
19feb2017,2071481,7,region,9,0,98
19feb2017,898970,7,region,10,0,39
19feb2017,47583,7,region,11,0,0
19feb2017,8259,7,region,12,0,0
19feb2017,1322914,7,age,20,0,212
19feb2017,1579693,7,age,30,0,238
19feb2017,1697043,7,age,40,0,81
19feb2017,1702936,7,age,50,0,50
19feb2017,1637824,7,age,60,0,18
19feb2017,1252479,7,age,70,0,11
19feb2017,891515,7,age,80,0,5
19feb2017,451407,7,age,90,0,5
19feb2017,93933,7,age,100,0,0
26feb2017,6125958,8,ethnicity,0,0,401
26feb2017,615036,8,ethnicity,1,0,13
26feb2017,5299294,8,gender,1,0,603
26feb2017,10632029,8,overall,1,0,653
26feb2017,346127,8,region,1,0,14
26feb2017,365015,8,ethnicity,2,0,5
26feb2017,5332735,8,gender,2,0,50
26feb2017,1921757,8,region,2,0,126
26feb2017,197395,8,ethnicity,3,0,12
26feb2017,399089,8,region,3,0,36
26feb2017,127053,8,ethnicity,4,0,16
26feb2017,262547,8,region,4,0,34
26feb2017,3201572,8,ethnicity,5,0,206
26feb2017,1701615,8,region,5,0,70
26feb2017,482938,8,region,6,0,20
26feb2017,1228723,8,region,7,0,107
26feb2017,1261191,8,region,8,0,80
26feb2017,2073112,8,region,9,0,114
26feb2017,899089,8,region,10,0,50
26feb2017,47585,8,region,11,0,0
26feb2017,8256,8,region,12,0,5
26feb2017,1323335,8,age,20,0,241
