weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,6108300,0,ethnicity,0,0,237
01jan2017,611539,0,ethnicity,1,0,14
01jan2017,5289074,0,gender,1,0,189
01jan2017,10609465,0,overall,1,0,363
01jan2017,346665,0,region,1,0,10
01jan2017,363024,0,ethnicity,2,0,5
01jan2017,5320391,0,gender,2,0,174
01jan2017,1920097,0,region,2,0,57
01jan2017,195917,0,ethnicity,3,0,7
01jan2017,398485,0,region,3,0,20
01jan2017,126099,0,ethnicity,4,0,5
01jan2017,263975,0,region,4,0,14
01jan2017,3204586,0,ethnicity,5,0,99
01jan2017,1701909,0,region,5,0,46
01jan2017,482588,0,region,6,0,18
01jan2017,1226050,0,region,7,0,44
01jan2017,1260170,0,region,8,0,46
01jan2017,2056141,0,region,9,0,77
01jan2017,897506,0,region,10,0,29
01jan2017,47594,0,region,11,0,5
01jan2017,8285,0,region,12,0,5
01jan2017,1318701,0,age,20,0,67
01jan2017,1569215,0,age,30,0,109
01jan2017,1687196,0,age,40,0,80
01jan2017,1698083,0,age,50,0,49
01jan2017,1635295,0,age,60,0,31
01jan2017,1252254,0,age,70,0,17
01jan2017,894014,0,age,80,0,8
01jan2017,457046,0,age,90,0,5
01jan2017,97661,0,age,100,0,5
08jan2017,6114352,1,ethnicity,0,0,291
08jan2017,612289,1,ethnicity,1,0,17
08jan2017,5293988,1,gender,1,0,234
08jan2017,10619216,1,overall,1,0,421
08jan2017,346651,1,region,1,0,8
08jan2017,363565,1,ethnicity,2,0,5
08jan2017,5325228,1,gender,2,0,187
08jan2017,1920923,1,region,2,0,70
08jan2017,196452,1,ethnicity,3,0,5
08jan2017,398725,1,region,3,0,15
08jan2017,126292,1,ethnicity,4,0,5
08jan2017,263981,1,region,4,0,22
08jan2017,3206266,1,ethnicity,5,0,99
08jan2017,1703111,1,region,5,0,55
08jan2017,482791,1,region,6,0,17
08jan2017,1227565,1,region,7,0,54
08jan2017,1261434,1,region,8,0,59
08jan2017,2059839,1,region,9,0,83
08jan2017,898290,1,region,10,0,37
08jan2017,47614,1,region,11,0,0
08jan2017,8292,1,region,12,0,5
08jan2017,1319760,1,age,20,0,55
08jan2017,1572758,1,age,30,0,125
08jan2017,1690229,1,age,40,0,111
08jan2017,1699586,1,age,50,0,55
08jan2017,1636199,1,age,60,0,43
08jan2017,1252720,1,age,70,0,18
08jan2017,893914,1,age,80,0,9
08jan2017,456697,1,age,90,0,5
08jan2017,97353,1,age,100,0,5
15jan2017,6116018,2,ethnicity,0,0,257
15jan2017,612741,2,ethnicity,1,0,9
15jan2017,5295029,2,gender,1,0,212
15jan2017,10621539,2,overall,1,0,409
15jan2017,346527,2,region,1,0,13
15jan2017,363718,2,ethnicity,2,0,5
15jan2017,5326510,2,gender,2,0,197
15jan2017,1920746,2,region,2,0,88
15jan2017,196687,2,ethnicity,3,0,6
15jan2017,398778,2,region,3,0,19
15jan2017,126426,2,ethnicity,4,0,5
15jan2017,263901,2,region,4,0,12
15jan2017,3205949,2,ethnicity,5,0,130
15jan2017,1702524,2,region,5,0,60
15jan2017,482821,2,region,6,0,17
15jan2017,1229082,2,region,7,0,62
15jan2017,1261791,2,region,8,0,47
15jan2017,2061280,2,region,9,0,61
15jan2017,898206,2,region,10,0,27
15jan2017,47601,2,region,11,0,5
15jan2017,8282,2,region,12,0,5
15jan2017,1320512,2,age,20,0,52
15jan2017,1574281,2,age,30,0,139
15jan2017,1691315,2,age,40,0,87
15jan2017,1700177,2,age,50,0,53
15jan2017,1636486,2,age,60,0,43
15jan2017,1252690,2,age,70,0,26
15jan2017,893567,2,age,80,0,7
15jan2017,455758,2,age,90,0,5
15jan2017,96753,2,age,100,0,0
22jan2017,6115844,3,ethnicity,0,0,292
22jan2017,613360,3,ethnicity,1,0,22
22jan2017,5295050,3,gender,1,0,259
22jan2017,10621607,3,overall,1,0,443
22jan2017,346480,3,region,1,0,12
22jan2017,363898,3,ethnicity,2,0,5
22jan2017,5326557,3,gender,2,0,184
22jan2017,1920914,3,region,2,0,91
22jan2017,196989,3,ethnicity,3,0,5
22jan2017,398836,3,region,3,0,8
22jan2017,126522,3,ethnicity,4,0,5
22jan2017,263768,3,region,4,0,22
22jan2017,3204994,3,ethnicity,5,0,117
22jan2017,1702526,3,region,5,0,62
22jan2017,482818,3,region,6,0,16
22jan2017,1227408,3,region,7,0,70
22jan2017,1261052,3,region,8,0,60
22jan2017,2063710,3,region,9,0,70
22jan2017,898234,3,region,10,0,29
22jan2017,47591,3,region,11,0,0
22jan2017,8270,3,region,12,0,5
22jan2017,1320896,3,age,20,0,66
22jan2017,1575183,3,age,30,0,142
22jan2017,1692070,3,age,40,0,97
22jan2017,1700565,3,age,50,0,69
22jan2017,1636629,3,age,60,0,38
22jan2017,1252431,3,age,70,0,19
22jan2017,893026,3,age,80,0,9
22jan2017,454756,3,age,90,0,5
22jan2017,96051,3,age,100,0,5
29jan2017,6118023,4,ethnicity,0,0,282
29jan2017,613897,4,ethnicity,1,0,19
29jan2017,5296350,4,gender,1,0,222
29jan2017,10624815,4,overall,1,0,419
29jan2017,346508,4,region,1,0,13
29jan2017,364157,4,ethnicity,2,0,5
29jan2017,5328465,4,gender,2,0,197
29jan2017,1921150,4,region,2,0,61
29jan2017,197213,4,ethnicity,3,0,9
29jan2017,398902,4,region,3,0,17
29jan2017,126697,4,ethnicity,4,0,5
29jan2017,263707,4,region,4,0,14
29jan2017,3204828,4,ethnicity,5,0,101
29jan2017,1702767,4,region,5,0,62
29jan2017,482897,4,region,6,0,20
29jan2017,1227590,4,region,7,0,69
29jan2017,1260981,4,region,8,0,52
29jan2017,2066100,4,region,9,0,77
29jan2017,898364,4,region,10,0,34
29jan2017,47591,4,region,11,0,0
29jan2017,8258,4,region,12,0,0
29jan2017,1321499,4,age,20,0,69
29jan2017,1576788,4,age,30,0,128
29jan2017,1693531,4,age,40,0,92
29jan2017,1701371,4,age,50,0,59
