weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,6108300,0,ethnicity,0,0,1163
01jan2017,611539,0,ethnicity,1,0,135
01jan2017,5289074,0,gender,1,0,1081
01jan2017,10609465,0,overall,1,0,1912
01jan2017,346665,0,region,1,0,84
01jan2017,363024,0,ethnicity,2,0,40
01jan2017,5320391,0,gender,2,0,831
01jan2017,1920097,0,region,2,0,388
01jan2017,195917,0,ethnicity,3,0,10
01jan2017,398485,0,region,3,0,69
01jan2017,126099,0,ethnicity,4,0,41
01jan2017,263975,0,region,4,0,80
01jan2017,3204586,0,ethnicity,5,0,523
01jan2017,1701909,0,region,5,0,310
01jan2017,482588,0,region,6,0,46
01jan2017,1226050,0,region,7,0,254
01jan2017,1260170,0,region,8,0,169
01jan2017,2056141,0,region,9,0,369
01jan2017,897506,0,region,10,0,135
01jan2017,47594,0,region,11,0,5
01jan2017,8285,0,region,12,0,5
01jan2017,1318701,0,age,20,0,472
01jan2017,1569215,0,age,30,0,520
01jan2017,1687196,0,age,40,0,311
01jan2017,1698083,0,age,50,0,308
01jan2017,1635295,0,age,60,0,168
01jan2017,1252254,0,age,70,0,72
01jan2017,894014,0,age,80,0,39
01jan2017,457046,0,age,90,0,18
01jan2017,97661,0,age,100,0,5
08jan2017,6114352,1,ethnicity,0,0,1244
08jan2017,612289,1,ethnicity,1,0,155
08jan2017,5293988,1,gender,1,0,1171
08jan2017,10619216,1,overall,1,0,2022
08jan2017,346651,1,region,1,0,61
08jan2017,363565,1,ethnicity,2,0,60
08jan2017,5325228,1,gender,2,0,851
08jan2017,1920923,1,region,2,0,372
08jan2017,196452,1,ethnicity,3,0,34
08jan2017,398725,1,region,3,0,76
08jan2017,126292,1,ethnicity,4,0,30
08jan2017,263981,1,region,4,0,63
08jan2017,3206266,1,ethnicity,5,0,499
08jan2017,1703111,1,region,5,0,291
08jan2017,482791,1,region,6,0,52
08jan2017,1227565,1,region,7,0,312
08jan2017,1261434,1,region,8,0,163
08jan2017,2059839,1,region,9,0,472
08jan2017,898290,1,region,10,0,148
08jan2017,47614,1,region,11,0,8
08jan2017,8292,1,region,12,0,5
08jan2017,1319760,1,age,20,0,448
08jan2017,1572758,1,age,30,0,531
08jan2017,1690229,1,age,40,0,311
08jan2017,1699586,1,age,50,0,321
08jan2017,1636199,1,age,60,0,215
08jan2017,1252720,1,age,70,0,91
08jan2017,893914,1,age,80,0,65
08jan2017,456697,1,age,90,0,29
08jan2017,97353,1,age,100,0,11
15jan2017,6116018,2,ethnicity,0,0,1274
15jan2017,612741,2,ethnicity,1,0,172
15jan2017,5295029,2,gender,1,0,1286
15jan2017,10621539,2,overall,1,0,2156
15jan2017,346527,2,region,1,0,83
15jan2017,363718,2,ethnicity,2,0,91
15jan2017,5326510,2,gender,2,0,870
15jan2017,1920746,2,region,2,0,406
15jan2017,196687,2,ethnicity,3,0,33
15jan2017,398778,2,region,3,0,57
15jan2017,126426,2,ethnicity,4,0,26
15jan2017,263901,2,region,4,0,73
15jan2017,3205949,2,ethnicity,5,0,560
15jan2017,1702524,2,region,5,0,293
15jan2017,482821,2,region,6,0,59
15jan2017,1229082,2,region,7,0,306
15jan2017,1261791,2,region,8,0,203
15jan2017,2061280,2,region,9,0,545
15jan2017,898206,2,region,10,0,125
15jan2017,47601,2,region,11,0,5
15jan2017,8282,2,region,12,0,5
15jan2017,1320512,2,age,20,0,503
15jan2017,1574281,2,age,30,0,559
15jan2017,1691315,2,age,40,0,318
15jan2017,1700177,2,age,50,0,296
15jan2017,1636486,2,age,60,0,252
15jan2017,1252690,2,age,70,0,105
15jan2017,893567,2,age,80,0,74
15jan2017,455758,2,age,90,0,38
15jan2017,96753,2,age,100,0,11
22jan2017,6115844,3,ethnicity,0,0,1293
22jan2017,613360,3,ethnicity,1,0,184
22jan2017,5295050,3,gender,1,0,1326
22jan2017,10621607,3,overall,1,0,2198
22jan2017,346480,3,region,1,0,85
22jan2017,363898,3,ethnicity,2,0,79
22jan2017,5326557,3,gender,2,0,872
22jan2017,1920914,3,region,2,0,421
22jan2017,196989,3,ethnicity,3,0,37
22jan2017,398836,3,region,3,0,68
22jan2017,126522,3,ethnicity,4,0,38
22jan2017,263768,3,region,4,0,76
22jan2017,3204994,3,ethnicity,5,0,567
22jan2017,1702526,3,region,5,0,314
22jan2017,482818,3,region,6,0,62
22jan2017,1227408,3,region,7,0,303
22jan2017,1261052,3,region,8,0,202
22jan2017,2063710,3,region,9,0,518
22jan2017,898234,3,region,10,0,142
22jan2017,47591,3,region,11,0,5
22jan2017,8270,3,region,12,0,5
22jan2017,1320896,3,age,20,0,546
22jan2017,1575183,3,age,30,0,574
22jan2017,1692070,3,age,40,0,323
22jan2017,1700565,3,age,50,0,333
22jan2017,1636629,3,age,60,0,218
22jan2017,1252431,3,age,70,0,98
22jan2017,893026,3,age,80,0,59
22jan2017,454756,3,age,90,0,41
22jan2017,96051,3,age,100,0,6
29jan2017,6118023,4,ethnicity,0,0,1332
29jan2017,613897,4,ethnicity,1,0,193
29jan2017,5296350,4,gender,1,0,1387
29jan2017,10624815,4,overall,1,0,2229
29jan2017,346508,4,region,1,0,68
29jan2017,364157,4,ethnicity,2,0,81
29jan2017,5328465,4,gender,2,0,842
29jan2017,1921150,4,region,2,0,437
29jan2017,197213,4,ethnicity,3,0,32
29jan2017,398902,4,region,3,0,79
29jan2017,126697,4,ethnicity,4,0,29
29jan2017,263707,4,region,4,0,63
29jan2017,3204828,4,ethnicity,5,0,562
29jan2017,1702767,4,region,5,0,354
29jan2017,482897,4,region,6,0,52
29jan2017,1227590,4,region,7,0,301
29jan2017,1260981,4,region,8,0,193
29jan2017,2066100,4,region,9,0,531
29jan2017,898364,4,region,10,0,139
29jan2017,47591,4,region,11,0,8
29jan2017,8258,4,region,12,0,5
29jan2017,1321499,4,age,20,0,525
29jan2017,1576788,4,age,30,0,561
29jan2017,1693531,4,age,40,0,309
29jan2017,1701371,4,age,50,0,359
29jan2017,1636999,4,age,60,0,259
29jan2017,1252510,4,age,70,0,103
29jan2017,892719,4,age,80,0,60
29jan2017,453869,4,age,90,0,51
29jan2017,95529,4,age,100,0,5
05feb2017,6120481,5,ethnicity,0,0,1319
05feb2017,614337,5,ethnicity,1,0,175
05feb2017,5297163,5,gender,1,0,1353
05feb2017,10626600,5,overall,1,0,2233
05feb2017,346454,5,region,1,0,75
05feb2017,364402,5,ethnicity,2,0,82
05feb2017,5329437,5,gender,2,0,880
05feb2017,1921443,5,region,2,0,445
05feb2017,197360,5,ethnicity,3,0,29
05feb2017,399047,5,region,3,0,80
05feb2017,126814,5,ethnicity,4,0,38
05feb2017,263536,5,region,4,0,65
05feb2017,3203206,5,ethnicity,5,0,590
05feb2017,1701466,5,region,5,0,362
05feb2017,482932,5,region,6,0,66
05feb2017,1228061,5,region,7,0,289
05feb2017,1261325,5,region,8,0,180
05feb2017,2068054,5,region,9,0,506
05feb2017,898438,5,region,10,0,157
05feb2017,47583,5,region,11,0,6
05feb2017,8261,5,region,12,0,5
05feb2017,1322011,5,age,20,0,539
05feb2017,1577945,5,age,30,0,573
05feb2017,1694828,5,age,40,0,304
05feb2017,1701901,5,age,50,0,337
05feb2017,1637225,5,age,60,0,261
05feb2017,1252458,5,age,70,0,117
05feb2017,892304,5,age,80,0,58
05feb2017,452929,5,age,90,0,40
05feb2017,94999,5,age,100,0,5
12feb2017,6121971,6,ethnicity,0,0,1263
12feb2017,614494,6,ethnicity,1,0,167
12feb2017,5297682,6,gender,1,0,1232
12feb2017,10628063,6,overall,1,0,2105
12feb2017,346392,6,region,1,0,70
12feb2017,364636,6,ethnicity,2,0,95
12feb2017,5330381,6,gender,2,0,873
12feb2017,1921546,6,region,2,0,430
12feb2017,197241,6,ethnicity,3,0,30
12feb2017,399059,6,region,3,0,70
12feb2017,126912,6,ethnicity,4,0,39
12feb2017,262526,6,region,4,0,63
12feb2017,3202809,6,ethnicity,5,0,511
12feb2017,1701626,6,region,5,0,339
12feb2017,482870,6,region,6,0,40
12feb2017,1228377,6,region,7,0,261
12feb2017,1261270,6,region,8,0,170
12feb2017,2069774,6,region,9,0,539
12feb2017,898778,6,region,10,0,121
12feb2017,47576,6,region,11,0,5
12feb2017,8269,6,region,12,0,0
12feb2017,1322480,6,age,20,0,465
12feb2017,1578338,6,age,30,0,518
12feb2017,1696104,6,age,40,0,321
12feb2017,1702534,6,age,50,0,335
12feb2017,1637515,6,age,60,0,289
12feb2017,1252529,6,age,70,0,92
12feb2017,891918,6,age,80,0,56
12feb2017,452177,6,age,90,0,20
12feb2017,94468,6,age,100,0,9
19feb2017,6123838,7,ethnicity,0,0,1229
19feb2017,614696,7,ethnicity,1,0,156
19feb2017,5298371,7,gender,1,0,1262
19feb2017,10629744,7,overall,1,0,2107
19feb2017,346117,7,region,1,0,73
19feb2017,364793,7,ethnicity,2,0,83
19feb2017,5331373,7,gender,2,0,845
19feb2017,1921521,7,region,2,0,446
19feb2017,197315,7,ethnicity,3,0,27
19feb2017,399059,7,region,3,0,53
19feb2017,126987,7,ethnicity,4,0,35
19feb2017,262539,7,region,4,0,66
19feb2017,3202115,7,ethnicity,5,0,577
19feb2017,1701479,7,region,5,0,258
19feb2017,482868,7,region,6,0,59
19feb2017,1228565,7,region,7,0,296
19feb2017,1261303,7,region,8,0,197
19feb2017,2071481,7,region,9,0,488
19feb2017,898970,7,region,10,0,167
19feb2017,47583,7,region,11,0,5
19feb2017,8259,7,region,12,0,5
19feb2017,1322914,7,age,20,0,513
19feb2017,1579693,7,age,30,0,538
19feb2017,1697043,7,age,40,0,293
19feb2017,1702936,7,age,50,0,346
19feb2017,1637824,7,age,60,0,200
19feb2017,1252479,7,age,70,0,108
19feb2017,891515,7,age,80,0,73
19feb2017,451407,7,age,90,0,33
19feb2017,93933,7,age,100,0,5
26feb2017,6125958,8,ethnicity,0,0,1321
26feb2017,615036,8,ethnicity,1,0,151
26feb2017,5299294,8,gender,1,0,1340
26feb2017,10632029,8,overall,1,0,2266
26feb2017,346127,8,region,1,0,70
26feb2017,365015,8,ethnicity,2,0,84
26feb2017,5332735,8,gender,2,0,926
26feb2017,1921757,8,region,2,0,441
26feb2017,197395,8,ethnicity,3,0,39
26feb2017,399089,8,region,3,0,76
26feb2017,127053,8,ethnicity,4,0,34
26feb2017,262547,8,region,4,0,77
26feb2017,3201572,8,ethnicity,5,0,637
26feb2017,1701615,8,region,5,0,361
26feb2017,482938,8,region,6,0,49
26feb2017,1228723,8,region,7,0,325
26feb2017,1261191,8,region,8,0,222
26feb2017,2073112,8,region,9,0,480
26feb2017,899089,8,region,10,0,162
26feb2017,47585,8,region,11,0,0
26feb2017,8256,8,region,12,0,5
26feb2017,1323335,8,age,20,0,551
26feb2017,1580915,8,age,30,0,609
26feb2017,1698225,8,age,40,0,315
26feb2017,1703559,8,age,50,0,384
26feb2017,1638152,8,age,60,0,233
26feb2017,1252418,8,age,70,0,93
26feb2017,891238,8,age,80,0,34
26feb2017,450706,8,age,90,0,41
