weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,6108300,0,ethnicity,0,0,1738
01jan2017,611539,0,ethnicity,1,0,138
01jan2017,5289074,0,gender,1,0,1270
01jan2017,10609465,0,overall,1,0,2743
01jan2017,346665,0,region,1,0,61
01jan2017,363024,0,ethnicity,2,0,223
01jan2017,5320391,0,gender,2,0,1473
01jan2017,1920097,0,region,2,0,559
01jan2017,195917,0,ethnicity,3,0,49
01jan2017,398485,0,region,3,0,100
01jan2017,126099,0,ethnicity,4,0,59
01jan2017,263975,0,region,4,0,59
01jan2017,3204586,0,ethnicity,5,0,536
01jan2017,1701909,0,region,5,0,369
01jan2017,482588,0,region,6,0,106
01jan2017,1226050,0,region,7,0,301
01jan2017,1260170,0,region,8,0,259
01jan2017,2056141,0,region,9,0,749
01jan2017,897506,0,region,10,0,165
01jan2017,47594,0,region,11,0,5
01jan2017,8285,0,region,12,0,11
01jan2017,1318701,0,age,20,0,63
01jan2017,1569215,0,age,30,0,407
01jan2017,1687196,0,age,40,0,550
01jan2017,1698083,0,age,50,0,575
01jan2017,1635295,0,age,60,0,517
01jan2017,1252254,0,age,70,0,359
01jan2017,894014,0,age,80,0,182
01jan2017,457046,0,age,90,0,79
01jan2017,97661,0,age,100,0,11
08jan2017,6114352,1,ethnicity,0,0,2006
08jan2017,612289,1,ethnicity,1,0,194
08jan2017,5293988,1,gender,1,0,1513
08jan2017,10619216,1,overall,1,0,3234
08jan2017,346651,1,region,1,0,78
08jan2017,363565,1,ethnicity,2,0,263
08jan2017,5325228,1,gender,2,0,1721
08jan2017,1920923,1,region,2,0,720
08jan2017,196452,1,ethnicity,3,0,45
08jan2017,398725,1,region,3,0,128
08jan2017,126292,1,ethnicity,4,0,89
08jan2017,263981,1,region,4,0,62
08jan2017,3206266,1,ethnicity,5,0,637
08jan2017,1703111,1,region,5,0,488
08jan2017,482791,1,region,6,0,92
08jan2017,1227565,1,region,7,0,402
08jan2017,1261434,1,region,8,0,276
08jan2017,2059839,1,region,9,0,768
08jan2017,898290,1,region,10,0,201
08jan2017,47614,1,region,11,0,5
08jan2017,8292,1,region,12,0,14
08jan2017,1319760,1,age,20,0,75
08jan2017,1572758,1,age,30,0,493
08jan2017,1690229,1,age,40,0,635
08jan2017,1699586,1,age,50,0,700
08jan2017,1636199,1,age,60,0,676
08jan2017,1252720,1,age,70,0,371
08jan2017,893914,1,age,80,0,203
08jan2017,456697,1,age,90,0,72
08jan2017,97353,1,age,100,0,9
15jan2017,6116018,2,ethnicity,0,0,2099
15jan2017,612741,2,ethnicity,1,0,161
15jan2017,5295029,2,gender,1,0,1589
15jan2017,10621539,2,overall,1,0,3325
