"weekDate","stratifier","category","week","numOutcome","lockdown","numEligible"
2017-01-01,"age","100",1,154,0,97661
2017-01-01,"age","20",1,2222,0,1318701
2017-01-01,"age","30",1,7552,0,1569215
2017-01-01,"age","40",1,6169,0,1687196
2017-01-01,"age","50",1,5378,0,1698083
2017-01-01,"age","60",1,4514,0,1635295
2017-01-01,"age","70",1,2076,0,1252254
2017-01-01,"age","80",1,1196,0,894014
2017-01-01,"age","90",1,677,0,457046
2017-01-01,"ethnicity","0",1,20348,0,6108300
2017-01-01,"ethnicity","1",1,851,0,611539
2017-01-01,"ethnicity","2",1,557,0,363024
2017-01-01,"ethnicity","3",1,342,0,195917
2017-01-01,"ethnicity","4",1,422,0,126099
2017-01-01,"ethnicity","5",1,7418,0,3204586
2017-01-01,"gender","1",1,18687,0,5289074
2017-01-01,"gender","2",1,11251,0,5320391
2017-01-01,"overall","1",1,29938,0,10609465
2017-01-01,"region","1",1,1132,0,346665
2017-01-01,"region","10",1,2190,0,897506
2017-01-01,"region","11",1,45,0,47594
2017-01-01,"region","12",1,74,0,8285
2017-01-01,"region","2",1,6512,0,1920097
2017-01-01,"region","3",1,1267,0,398485
2017-01-01,"region","4",1,887,0,263975
2017-01-01,"region","5",1,4766,0,1701909
2017-01-01,"region","6",1,1091,0,482588
2017-01-01,"region","7",1,4032,0,1226050
2017-01-01,"region","8",1,3282,0,1260170
2017-01-01,"region","9",1,4660,0,2056141
2017-01-08,"age","100",2,165,0,97353
2017-01-08,"age","20",2,2569,0,1319760
2017-01-08,"age","30",2,9548,0,1572758
2017-01-08,"age","40",2,7708,0,1690229
2017-01-08,"age","50",2,6737,0,1699586
2017-01-08,"age","60",2,5510,0,1636199
2017-01-08,"age","70",2,2610,0,1252720
2017-01-08,"age","80",2,1376,0,893914
2017-01-08,"age","90",2,812,0,456697
2017-01-08,"ethnicity","0",2,25227,0,6114352
2017-01-08,"ethnicity","1",2,1054,0,612289
2017-01-08,"ethnicity","2",2,737,0,363565
2017-01-08,"ethnicity","3",2,404,0,196452
2017-01-08,"ethnicity","4",2,514,0,126292
2017-01-08,"ethnicity","5",2,9099,0,3206266
2017-01-08,"gender","1",2,23363,0,5293988
2017-01-08,"gender","2",2,13672,0,5325228
2017-01-08,"overall","1",2,37035,0,10619216
2017-01-08,"region","1",2,1469,0,346651
2017-01-08,"region","10",2,2609,0,898290
2017-01-08,"region","11",2,55,0,47614
2017-01-08,"region","12",2,69,0,8292
2017-01-08,"region","2",2,8448,0,1920923
2017-01-08,"region","3",2,1543,0,398725
2017-01-08,"region","4",2,1136,0,263981
2017-01-08,"region","5",2,6016,0,1703111
2017-01-08,"region","6",2,1445,0,482791
2017-01-08,"region","7",2,5008,0,1227565
2017-01-08,"region","8",2,3942,0,1261434
2017-01-08,"region","9",2,5295,0,2059839
2017-01-15,"age","100",3,151,0,96753
2017-01-15,"age","20",3,2780,0,1320512
2017-01-15,"age","30",3,9327,0,1574281
2017-01-15,"age","40",3,7177,0,1691315
2017-01-15,"age","50",3,6357,0,1700177
2017-01-15,"age","60",3,5240,0,1636486
2017-01-15,"age","70",3,2457,0,1252690
2017-01-15,"age","80",3,1313,0,893567
2017-01-15,"age","90",3,742,0,455758
2017-01-15,"ethnicity","0",3,24164,0,6116018
2017-01-15,"ethnicity","1",3,1040,0,612741
2017-01-15,"ethnicity","2",3,682,0,363718
2017-01-15,"ethnicity","3",3,419,0,196687
2017-01-15,"ethnicity","4",3,455,0,126426
2017-01-15,"ethnicity","5",3,8784,0,3205949
2017-01-15,"gender","1",3,22634,0,5295029
2017-01-15,"gender","2",3,12910,0,5326510
2017-01-15,"overall","1",3,35544,0,10621539
2017-01-15,"region","1",3,1521,0,346527
2017-01-15,"region","10",3,2700,0,898206
2017-01-15,"region","11",3,72,0,47601
2017-01-15,"region","12",3,78,0,8282
2017-01-15,"region","2",3,7986,0,1920746
2017-01-15,"region","3",3,1459,0,398778
2017-01-15,"region","4",3,1090,0,263901
2017-01-15,"region","5",3,5636,0,1702524
2017-01-15,"region","6",3,1331,0,482821
2017-01-15,"region","7",3,4746,0,1229082
2017-01-15,"region","8",3,3760,0,1261791
2017-01-15,"region","9",3,5165,0,2061280
2017-01-22,"age","100",4,142,0,96051
2017-01-22,"age","20",4,2833,0,1320896
2017-01-22,"age","30",4,8949,0,1575183
2017-01-22,"age","40",4,7019,0,1692070
2017-01-22,"age","50",4,6271,0,1700565
2017-01-22,"age","60",4,5124,0,1636629
2017-01-22,"age","70",4,2364,0,1252431
2017-01-22,"age","80",4,1269,0,893026
2017-01-22,"age","90",4,756,0,454756
2017-01-22,"ethnicity","0",4,23591,0,6115844
2017-01-22,"ethnicity","1",4,999,0,613360
2017-01-22,"ethnicity","2",4,658,0,363898
2017-01-22,"ethnicity","3",4,389,0,196989
2017-01-22,"ethnicity","4",4,459,0,126522
2017-01-22,"ethnicity","5",4,8631,0,3204994
2017-01-22,"gender","1",4,21967,0,5295050
2017-01-22,"gender","2",4,12760,0,5326557
2017-01-22,"overall","1",4,34727,0,10621607
2017-01-22,"region","1",4,1371,0,346480
2017-01-22,"region","10",4,2697,0,898234
2017-01-22,"region","11",4,58,0,47591
2017-01-22,"region","12",4,57,0,8270
2017-01-22,"region","2",4,7603,0,1920914
2017-01-22,"region","3",4,1362,0,398836
2017-01-22,"region","4",4,1132,0,263768
2017-01-22,"region","5",4,5394,0,1702526
2017-01-22,"region","6",4,1657,0,482818
2017-01-22,"region","7",4,4888,0,1227408
2017-01-22,"region","8",4,3647,0,1261052
2017-01-22,"region","9",4,4861,0,2063710
2017-01-29,"age","100",5,170,0,95529
2017-01-29,"age","20",5,2855,0,1321499
2017-01-29,"age","30",5,9371,0,1576788
2017-01-29,"age","40",5,7141,0,1693531
2017-01-29,"age","50",5,6495,0,1701371
2017-01-29,"age","60",5,5430,0,1636999
2017-01-29,"age","70",5,2508,0,1252510
2017-01-29,"age","80",5,1295,0,892719
2017-01-29,"age","90",5,783,0,453869
