"weekDate","stratifier","category","week","numOutcome","lockdown","numEligible"
2017-01-01,"age","20",1,170,0,1318701
2017-01-01,"age","30",1,177,0,1569215
2017-01-01,"age","40",1,66,0,1687196
2017-01-01,"age","50",1,43,0,1698083
2017-01-01,"age","60",1,17,0,1635295
2017-01-01,"age","70",1,5,0,1252254
2017-01-01,"age","80",1,5,0,894014
2017-01-01,"ethnicity","0",1,291,0,6108300
2017-01-01,"ethnicity","1",1,16,0,611539
2017-01-01,"ethnicity","2",1,6,0,363024
2017-01-01,"ethnicity","3",1,5,0,195917
2017-01-01,"ethnicity","4",1,7,0,126099
2017-01-01,"ethnicity","5",1,159,0,3204586
2017-01-01,"gender","1",1,443,0,5289074
2017-01-01,"gender","2",1,38,0,5320391
2017-01-01,"overall","1",1,481,0,10609465
2017-01-01,"region","1",1,16,0,346665
2017-01-01,"region","10",1,29,0,897506
2017-01-01,"region","12",1,5,0,8285
2017-01-01,"region","2",1,80,0,1920097
2017-01-01,"region","3",1,27,0,398485
2017-01-01,"region","4",1,22,0,263975
2017-01-01,"region","5",1,58,0,1701909
2017-01-01,"region","6",1,25,0,482588
2017-01-01,"region","7",1,89,0,1226050
2017-01-01,"region","8",1,67,0,1260170
2017-01-01,"region","9",1,66,0,2056141
2017-01-08,"age","20",2,203,0,1319760
2017-01-08,"age","30",2,220,0,1572758
2017-01-08,"age","40",2,86,0,1690229
2017-01-08,"age","50",2,54,0,1699586
2017-01-08,"age","60",2,25,0,1636199
2017-01-08,"age","70",2,6,0,1252720
2017-01-08,"age","80",2,5,0,893914
2017-01-08,"ethnicity","0",2,384,0,6114352
2017-01-08,"ethnicity","1",2,13,0,612289
2017-01-08,"ethnicity","2",2,5,0,363565
2017-01-08,"ethnicity","3",2,7,0,196452
2017-01-08,"ethnicity","4",2,9,0,126292
2017-01-08,"ethnicity","5",2,180,0,3206266
2017-01-08,"gender","1",2,543,0,5293988
2017-01-08,"gender","2",2,55,0,5325228
2017-01-08,"overall","1",2,598,0,10619216
2017-01-08,"region","1",2,15,0,346651
2017-01-08,"region","10",2,39,0,898290
2017-01-08,"region","11",2,5,0,47614
2017-01-08,"region","12",2,5,0,8292
2017-01-08,"region","2",2,112,0,1920923
2017-01-08,"region","3",2,36,0,398725
2017-01-08,"region","4",2,23,0,263981
2017-01-08,"region","5",2,69,0,1703111
2017-01-08,"region","6",2,21,0,482791
2017-01-08,"region","7",2,103,0,1227565
2017-01-08,"region","8",2,81,0,1261434
2017-01-08,"region","9",2,94,0,2059839
2017-01-15,"age","20",3,208,0,1320512
2017-01-15,"age","30",3,231,0,1574281
2017-01-15,"age","40",3,82,0,1691315
2017-01-15,"age","50",3,38,0,1700177
2017-01-15,"age","60",3,21,0,1636486
2017-01-15,"age","70",3,9,0,1252690
2017-01-15,"age","80",3,5,0,893567
2017-01-15,"ethnicity","0",3,387,0,6116018
2017-01-15,"ethnicity","1",3,14,0,612741
2017-01-15,"ethnicity","2",3,6,0,363718
2017-01-15,"ethnicity","3",3,7,0,196687
2017-01-15,"ethnicity","4",3,6,0,126426
2017-01-15,"ethnicity","5",3,171,0,3205949
2017-01-15,"gender","1",3,549,0,5295029
2017-01-15,"gender","2",3,42,0,5326510
2017-01-15,"overall","1",3,591,0,10621539
2017-01-15,"region","1",3,12,0,346527
2017-01-15,"region","10",3,43,0,898206
2017-01-15,"region","12",3,5,0,8282
2017-01-15,"region","2",3,97,0,1920746
2017-01-15,"region","3",3,39,0,398778
2017-01-15,"region","4",3,32,0,263901
2017-01-15,"region","5",3,71,0,1702524
2017-01-15,"region","6",3,25,0,482821
2017-01-15,"region","7",3,91,0,1229082
2017-01-15,"region","8",3,72,0,1261791
2017-01-15,"region","9",3,106,0,2061280
2017-01-22,"age","20",4,227,0,1320896
2017-01-22,"age","30",4,258,0,1575183
2017-01-22,"age","40",4,84,0,1692070
2017-01-22,"age","50",4,37,0,1700565
2017-01-22,"age","60",4,26,0,1636629
2017-01-22,"age","70",4,5,0,1252431
2017-01-22,"age","80",4,5,0,893026
2017-01-22,"ethnicity","0",4,391,0,6115844
2017-01-22,"ethnicity","1",4,14,0,613360
2017-01-22,"ethnicity","2",4,5,0,363898
2017-01-22,"ethnicity","3",4,8,0,196989
2017-01-22,"ethnicity","4",4,11,0,126522
2017-01-22,"ethnicity","5",4,210,0,3204994
2017-01-22,"gender","1",4,581,0,5295050
2017-01-22,"gender","2",4,58,0,5326557
2017-01-22,"overall","1",4,639,0,10621607
2017-01-22,"region","1",4,17,0,346480
2017-01-22,"region","10",4,44,0,898234
2017-01-22,"region","12",4,5,0,8270
2017-01-22,"region","2",4,120,0,1920914
2017-01-22,"region","3",4,33,0,398836
2017-01-22,"region","4",4,21,0,263768
2017-01-22,"region","5",4,84,0,1702526
2017-01-22,"region","6",4,26,0,482818
2017-01-22,"region","7",4,110,0,1227408
2017-01-22,"region","8",4,80,0,1261052
2017-01-22,"region","9",4,103,0,2063710
2017-01-29,"age","20",5,203,0,1321499
2017-01-29,"age","30",5,262,0,1576788
2017-01-29,"age","40",5,84,0,1693531
2017-01-29,"age","50",5,57,0,1701371
2017-01-29,"age","60",5,14,0,1636999
2017-01-29,"age","70",5,5,0,1252510
2017-01-29,"age","80",5,5,0,892719
2017-01-29,"ethnicity","0",5,393,0,6118023
2017-01-29,"ethnicity","1",5,15,0,613897
2017-01-29,"ethnicity","2",5,6,0,364157
2017-01-29,"ethnicity","3",5,11,0,197213
2017-01-29,"ethnicity","4",5,6,0,126697
2017-01-29,"ethnicity","5",5,195,0,3204828
2017-01-29,"gender","1",5,579,0,5296350
2017-01-29,"gender","2",5,47,0,5328465
2017-01-29,"overall","1",5,626,0,10624815
2017-01-29,"region","1",5,17,0,346508
2017-01-29,"region","10",5,44,0,898364
2017-01-29,"region","11",5,5,0,47591
2017-01-29,"region","12",5,5,0,8258
2017-01-29,"region","2",5,107,0,1921150
2017-01-29,"region","3",5,36,0,398902
2017-01-29,"region","4",5,34,0,263707
2017-01-29,"region","5",5,68,0,1702767
2017-01-29,"region","6",5,29,0,482897
2017-01-29,"region","7",5,104,0,1227590
2017-01-29,"region","8",5,86,0,1260981
2017-01-29,"region","9",5,98,0,2066100
2017-02-05,"age","100",6,5,0,94999
2017-02-05,"age","20",6,255,0,1322011
2017-02-05,"age","30",6,219,0,1577945
2017-02-05,"age","40",6,86,0,1694828
2017-02-05,"age","50",6,44,0,1701901
2017-02-05,"age","60",6,22,0,1637225
2017-02-05,"age","70",6,5,0,1252458
2017-02-05,"age","80",6,5,0,892304
2017-02-05,"age","90",6,5,0,452929
2017-02-05,"ethnicity","0",6,399,0,6120481
2017-02-05,"ethnicity","1",6,14,0,614337
2017-02-05,"ethnicity","2",6,5,0,364402
2017-02-05,"ethnicity","3",6,6,0,197360
2017-02-05,"ethnicity","4",6,9,0,126814
2017-02-05,"ethnicity","5",6,201,0,3203206
2017-02-05,"gender","1",6,586,0,5297163
2017-02-05,"gender","2",6,48,0,5329437
2017-02-05,"overall","1",6,634,0,10626600
2017-02-05,"region","1",6,21,0,346454
2017-02-05,"region","10",6,38,0,898438
2017-02-05,"region","11",6,5,0,47583
2017-02-05,"region","12",6,5,0,8261
2017-02-05,"region","2",6,99,0,1921443
2017-02-05,"region","3",6,41,0,399047
2017-02-05,"region","4",6,24,0,263536
2017-02-05,"region","5",6,83,0,1701466
2017-02-05,"region","6",6,36,0,482932
2017-02-05,"region","7",6,103,0,1228061
2017-02-05,"region","8",6,78,0,1261325
2017-02-05,"region","9",6,107,0,2068054
2017-02-12,"age","20",7,189,0,1322480
2017-02-12,"age","30",7,229,0,1578338
2017-02-12,"age","40",7,89,0,1696104
2017-02-12,"age","50",7,36,0,1702534
2017-02-12,"age","60",7,19,0,1637515
2017-02-12,"age","70",7,6,0,1252529
2017-02-12,"age","80",7,5,0,891918
2017-02-12,"age","90",7,5,0,452177
2017-02-12,"ethnicity","0",7,378,0,6121971
2017-02-12,"ethnicity","1",7,9,0,614494
2017-02-12,"ethnicity","2",7,8,0,364636
2017-02-12,"ethnicity","3",7,5,0,197241
2017-02-12,"ethnicity","4",7,9,0,126912
2017-02-12,"ethnicity","5",7,163,0,3202809
2017-02-12,"gender","1",7,529,0,5297682
2017-02-12,"gender","2",7,43,0,5330381
2017-02-12,"overall","1",7,572,0,10628063
2017-02-12,"region","1",7,14,0,346392
2017-02-12,"region","10",7,23,0,898778
2017-02-12,"region","11",7,5,0,47576
2017-02-12,"region","12",7,5,0,8269
2017-02-12,"region","2",7,104,0,1921546
2017-02-12,"region","3",7,44,0,399059
2017-02-12,"region","4",7,14,0,262526
2017-02-12,"region","5",7,67,0,1701626
2017-02-12,"region","6",7,21,0,482870
2017-02-12,"region","7",7,110,0,1228377
2017-02-12,"region","8",7,74,0,1261270
2017-02-12,"region","9",7,99,0,2069774
2017-02-19,"age","20",8,212,0,1322914
2017-02-19,"age","30",8,238,0,1579693
2017-02-19,"age","40",8,81,0,1697043
2017-02-19,"age","50",8,50,0,1702936
2017-02-19,"age","60",8,18,0,1637824
2017-02-19,"age","70",8,11,0,1252479
2017-02-19,"age","80",8,5,0,891515
2017-02-19,"age","90",8,5,0,451407
2017-02-19,"ethnicity","0",8,397,0,6123838
2017-02-19,"ethnicity","1",8,7,0,614696
2017-02-19,"ethnicity","2",8,5,0,364793
2017-02-19,"ethnicity","3",8,7,0,197315
2017-02-19,"ethnicity","4",8,10,0,126987
2017-02-19,"ethnicity","5",8,190,0,3202115
2017-02-19,"gender","1",8,567,0,5298371
2017-02-19,"gender","2",8,46,0,5331373
2017-02-19,"overall","1",8,613,0,10629744
2017-02-19,"region","1",8,15,0,346117
2017-02-19,"region","10",8,39,0,898970
2017-02-19,"region","2",8,111,0,1921521
2017-02-19,"region","3",8,30,0,399059
2017-02-19,"region","4",8,23,0,262539
2017-02-19,"region","5",8,66,0,1701479
2017-02-19,"region","6",8,28,0,482868
2017-02-19,"region","7",8,101,0,1228565
2017-02-19,"region","8",8,102,0,1261303
2017-02-19,"region","9",8,98,0,2071481
2017-02-26,"age","20",9,241,0,1323335
2017-02-26,"age","30",9,249,0,1580915
2017-02-26,"age","40",9,102,0,1698225
2017-02-26,"age","50",9,33,0,1703559
2017-02-26,"age","60",9,20,0,1638152
2017-02-26,"age","70",9,5,0,1252418
2017-02-26,"age","80",9,5,0,891238
2017-02-26,"age","90",9,5,0,450706
2017-02-26,"ethnicity","0",9,401,0,6125958
2017-02-26,"ethnicity","1",9,13,0,615036
2017-02-26,"ethnicity","2",9,5,0,365015
2017-02-26,"ethnicity","3",9,12,0,197395
2017-02-26,"ethnicity","4",9,16,0,127053
2017-02-26,"ethnicity","5",9,206,0,3201572
2017-02-26,"gender","1",9,603,0,5299294
2017-02-26,"gender","2",9,50,0,5332735
2017-02-26,"overall","1",9,653,0,10632029
2017-02-26,"region","1",9,14,0,346127
2017-02-26,"region","10",9,50,0,899089
2017-02-26,"region","12",9,5,0,8256
2017-02-26,"region","2",9,126,0,1921757
2017-02-26,"region","3",9,36,0,399089
2017-02-26,"region","4",9,34,0,262547
