"weekDate","stratifier","category","week","numOutcome","lockdown","numEligible"
2017-01-01,"age","100",1,81,0,97661
2017-01-01,"age","20",1,1652,0,1318701
2017-01-01,"age","30",1,5004,0,1569215
2017-01-01,"age","40",1,3801,0,1687196
2017-01-01,"age","50",1,3017,0,1698083
2017-01-01,"age","60",1,2314,0,1635295
2017-01-01,"age","70",1,1117,0,1252254
2017-01-01,"age","80",1,765,0,894014
2017-01-01,"age","90",1,393,0,457046
2017-01-01,"ethnicity","0",1,12267,0,6108300
2017-01-01,"ethnicity","1",1,486,0,611539
2017-01-01,"ethnicity","2",1,265,0,363024
2017-01-01,"ethnicity","3",1,166,0,195917
2017-01-01,"ethnicity","4",1,230,0,126099
2017-01-01,"ethnicity","5",1,4730,0,3204586
2017-01-01,"gender","1",1,11621,0,5289074
2017-01-01,"gender","2",1,6523,0,5320391
2017-01-01,"overall","1",1,18144,0,10609465
2017-01-01,"region","1",1,682,0,346665
2017-01-01,"region","10",1,1312,0,897506
2017-01-01,"region","11",1,49,0,47594
2017-01-01,"region","12",1,35,0,8285
2017-01-01,"region","2",1,4173,0,1920097
2017-01-01,"region","3",1,730,0,398485
2017-01-01,"region","4",1,562,0,263975
2017-01-01,"region","5",1,2854,0,1701909
2017-01-01,"region","6",1,706,0,482588
2017-01-01,"region","7",1,2501,0,1226050
2017-01-01,"region","8",1,1842,0,1260170
2017-01-01,"region","9",1,2698,0,2056141
2017-01-08,"age","100",2,95,0,97353
2017-01-08,"age","20",2,1973,0,1319760
2017-01-08,"age","30",2,6439,0,1572758
2017-01-08,"age","40",2,4795,0,1690229
2017-01-08,"age","50",2,3731,0,1699586
2017-01-08,"age","60",2,2752,0,1636199
2017-01-08,"age","70",2,1499,0,1252720
2017-01-08,"age","80",2,919,0,893914
2017-01-08,"age","90",2,513,0,456697
2017-01-08,"ethnicity","0",2,15577,0,6114352
2017-01-08,"ethnicity","1",2,631,0,612289
2017-01-08,"ethnicity","2",2,320,0,363565
2017-01-08,"ethnicity","3",2,211,0,196452
2017-01-08,"ethnicity","4",2,285,0,126292
2017-01-08,"ethnicity","5",2,5692,0,3206266
2017-01-08,"gender","1",2,14648,0,5293988
2017-01-08,"gender","2",2,8068,0,5325228
2017-01-08,"overall","1",2,22716,0,10619216
2017-01-08,"region","1",2,870,0,346651
2017-01-08,"region","10",2,1492,0,898290
2017-01-08,"region","11",2,45,0,47614
2017-01-08,"region","12",2,28,0,8292
2017-01-08,"region","2",2,5534,0,1920923
2017-01-08,"region","3",2,886,0,398725
2017-01-08,"region","4",2,765,0,263981
2017-01-08,"region","5",2,3764,0,1703111
2017-01-08,"region","6",2,890,0,482791
2017-01-08,"region","7",2,3210,0,1227565
2017-01-08,"region","8",2,2175,0,1261434
2017-01-08,"region","9",2,3057,0,2059839
2017-01-15,"age","100",3,76,0,96753
2017-01-15,"age","20",3,2209,0,1320512
2017-01-15,"age","30",3,6342,0,1574281
2017-01-15,"age","40",3,4470,0,1691315
2017-01-15,"age","50",3,3593,0,1700177
2017-01-15,"age","60",3,2594,0,1636486
2017-01-15,"age","70",3,1379,0,1252690
2017-01-15,"age","80",3,903,0,893567
2017-01-15,"age","90",3,520,0,455758
2017-01-15,"ethnicity","0",3,15089,0,6116018
2017-01-15,"ethnicity","1",3,657,0,612741
2017-01-15,"ethnicity","2",3,327,0,363718
