"weekDate","stratifier","category","week","numOutcome","lockdown","numEligible"
2017-01-01,"age","100",1,5,0,97661
2017-01-01,"age","20",1,67,0,1318701
2017-01-01,"age","30",1,109,0,1569215
2017-01-01,"age","40",1,80,0,1687196
2017-01-01,"age","50",1,49,0,1698083
2017-01-01,"age","60",1,31,0,1635295
2017-01-01,"age","70",1,17,0,1252254
2017-01-01,"age","80",1,8,0,894014
2017-01-01,"age","90",1,5,0,457046
2017-01-01,"ethnicity","0",1,237,0,6108300
2017-01-01,"ethnicity","1",1,14,0,611539
2017-01-01,"ethnicity","2",1,5,0,363024
2017-01-01,"ethnicity","3",1,7,0,195917
2017-01-01,"ethnicity","4",1,5,0,126099
2017-01-01,"ethnicity","5",1,99,0,3204586
2017-01-01,"gender","1",1,189,0,5289074
2017-01-01,"gender","2",1,174,0,5320391
2017-01-01,"overall","1",1,363,0,10609465
2017-01-01,"region","1",1,10,0,346665
2017-01-01,"region","10",1,29,0,897506
2017-01-01,"region","11",1,5,0,47594
2017-01-01,"region","12",1,5,0,8285
2017-01-01,"region","2",1,57,0,1920097
2017-01-01,"region","3",1,20,0,398485
2017-01-01,"region","4",1,14,0,263975
2017-01-01,"region","5",1,46,0,1701909
2017-01-01,"region","6",1,18,0,482588
2017-01-01,"region","7",1,44,0,1226050
2017-01-01,"region","8",1,46,0,1260170
2017-01-01,"region","9",1,77,0,2056141
2017-01-08,"age","100",2,5,0,97353
2017-01-08,"age","20",2,55,0,1319760
2017-01-08,"age","30",2,125,0,1572758
2017-01-08,"age","40",2,111,0,1690229
2017-01-08,"age","50",2,55,0,1699586
2017-01-08,"age","60",2,43,0,1636199
2017-01-08,"age","70",2,18,0,1252720
2017-01-08,"age","80",2,9,0,893914
2017-01-08,"age","90",2,5,0,456697
2017-01-08,"ethnicity","0",2,291,0,6114352
2017-01-08,"ethnicity","1",2,17,0,612289
2017-01-08,"ethnicity","2",2,5,0,363565
2017-01-08,"ethnicity","3",2,5,0,196452
2017-01-08,"ethnicity","4",2,5,0,126292
2017-01-08,"ethnicity","5",2,99,0,3206266
2017-01-08,"gender","1",2,234,0,5293988
2017-01-08,"gender","2",2,187,0,5325228
