"weekDate","stratifier","category","week","numOutcome","lockdown","numEligible"
2017-01-01,"age","100",1,5,0,97661
2017-01-01,"age","20",1,472,0,1318701
2017-01-01,"age","30",1,520,0,1569215
2017-01-01,"age","40",1,311,0,1687196
2017-01-01,"age","50",1,308,0,1698083
2017-01-01,"age","60",1,168,0,1635295
2017-01-01,"age","70",1,72,0,1252254
2017-01-01,"age","80",1,39,0,894014
2017-01-01,"age","90",1,18,0,457046
2017-01-01,"ethnicity","0",1,1163,0,6108300
2017-01-01,"ethnicity","1",1,135,0,611539
2017-01-01,"ethnicity","2",1,40,0,363024
2017-01-01,"ethnicity","3",1,10,0,195917
2017-01-01,"ethnicity","4",1,41,0,126099
2017-01-01,"ethnicity","5",1,523,0,3204586
2017-01-01,"gender","1",1,1081,0,5289074
2017-01-01,"gender","2",1,831,0,5320391
2017-01-01,"overall","1",1,1912,0,10609465
2017-01-01,"region","1",1,84,0,346665
2017-01-01,"region","10",1,135,0,897506
2017-01-01,"region","11",1,5,0,47594
2017-01-01,"region","12",1,5,0,8285
2017-01-01,"region","2",1,388,0,1920097
2017-01-01,"region","3",1,69,0,398485
2017-01-01,"region","4",1,80,0,263975
2017-01-01,"region","5",1,310,0,1701909
2017-01-01,"region","6",1,46,0,482588
2017-01-01,"region","7",1,254,0,1226050
2017-01-01,"region","8",1,169,0,1260170
2017-01-01,"region","9",1,369,0,2056141
2017-01-08,"age","100",2,11,0,97353
2017-01-08,"age","20",2,448,0,1319760
2017-01-08,"age","30",2,531,0,1572758
2017-01-08,"age","40",2,311,0,1690229
2017-01-08,"age","50",2,321,0,1699586
2017-01-08,"age","60",2,215,0,1636199
2017-01-08,"age","70",2,91,0,1252720
2017-01-08,"age","80",2,65,0,893914
2017-01-08,"age","90",2,29,0,456697
2017-01-08,"ethnicity","0",2,1244,0,6114352
2017-01-08,"ethnicity","1",2,155,0,612289
2017-01-08,"ethnicity","2",2,60,0,363565
2017-01-08,"ethnicity","3",2,34,0,196452
2017-01-08,"ethnicity","4",2,30,0,126292
2017-01-08,"ethnicity","5",2,499,0,3206266
2017-01-08,"gender","1",2,1171,0,5293988
2017-01-08,"gender","2",2,851,0,5325228
2017-01-08,"overall","1",2,2022,0,10619216
2017-01-08,"region","1",2,61,0,346651
2017-01-08,"region","10",2,148,0,898290
2017-01-08,"region","11",2,8,0,47614
2017-01-08,"region","12",2,5,0,8292
2017-01-08,"region","2",2,372,0,1920923
2017-01-08,"region","3",2,76,0,398725
2017-01-08,"region","4",2,63,0,263981
2017-01-08,"region","5",2,291,0,1703111
2017-01-08,"region","6",2,52,0,482791
2017-01-08,"region","7",2,312,0,1227565
2017-01-08,"region","8",2,163,0,1261434
2017-01-08,"region","9",2,472,0,2059839
2017-01-15,"age","100",3,11,0,96753
2017-01-15,"age","20",3,503,0,1320512
2017-01-15,"age","30",3,559,0,1574281
2017-01-15,"age","40",3,318,0,1691315
2017-01-15,"age","50",3,296,0,1700177
2017-01-15,"age","60",3,252,0,1636486
2017-01-15,"age","70",3,105,0,1252690
2017-01-15,"age","80",3,74,0,893567
2017-01-15,"age","90",3,38,0,455758
2017-01-15,"ethnicity","0",3,1274,0,6116018
