"","weekDate","numEligible","time","stratifier","category","lockdown"
"1",2017-01-01,10609465,0,"overall",1,0
"2",2017-01-08,10619216,1,"overall",1,0
"3",2017-01-15,10621539,2,"overall",1,0
"4",2017-01-22,10621607,3,"overall",1,0
"5",2017-01-29,10624815,4,"overall",1,0
"6",2017-02-05,10626600,5,"overall",1,0
"7",2017-02-12,10628063,6,"overall",1,0
"8",2017-02-19,10629744,7,"overall",1,0
"9",2017-02-26,10632029,8,"overall",1,0
"10",2017-03-05,10634486,9,"overall",1,0
"11",2017-03-12,10637359,10,"overall",1,0
"12",2017-03-19,10637620,11,"overall",1,0
"13",2017-03-26,10634970,12,"overall",1,0
"14",2017-04-02,10632697,13,"overall",1,0
"15",2017-04-09,10639530,14,"overall",1,0
"16",2017-04-16,10642366,15,"overall",1,0
"17",2017-04-23,10645363,16,"overall",1,0
"18",2017-04-30,10642914,17,"overall",1,0
"19",2017-05-07,10642428,18,"overall",1,0
"20",2017-05-14,10643861,19,"overall",1,0
"21",2017-05-21,10644477,20,"overall",1,0
"22",2017-05-28,10645100,21,"overall",1,0
"23",2017-06-04,10647212,22,"overall",1,0
"24",2017-06-11,10649049,23,"overall",1,0
"25",2017-06-18,10651025,24,"overall",1,0
"26",2017-06-25,10653733,25,"overall",1,0
"27",2017-07-02,10657123,26,"overall",1,0
"28",2017-07-09,10659136,27,"overall",1,0
"29",2017-07-16,10658340,28,"overall",1,0
"30",2017-07-23,10659218,29,"overall",1,0
"31",2017-07-30,10660677,30,"overall",1,0
"32",2017-08-06,10662405,31,"overall",1,0
"33",2017-08-13,10663955,32,"overall",1,0
"34",2017-08-20,10663665,33,"overall",1,0
"35",2017-08-27,10665200,34,"overall",1,0
"36",2017-09-03,10666616,35,"overall",1,0
"37",2017-09-10,10669902,36,"overall",1,0
"38",2017-09-17,10673950,37,"overall",1,0
"39",2017-09-24,10692907,38,"overall",1,0
"40",2017-10-01,10705887,39,"overall",1,0
"41",2017-10-08,10714423,40,"overall",1,0
"42",2017-10-15,10721240,41,"overall",1,0
"43",2017-10-22,10726043,42,"overall",1,0
"44",2017-10-29,10729944,43,"overall",1,0
"45",2017-11-05,10733569,44,"overall",1,0
"46",2017-11-12,10735141,45,"overall",1,0
"47",2017-11-19,10736793,46,"overall",1,0
"48",2017-11-26,10738197,47,"overall",1,0
"49",2017-12-03,10738931,48,"overall",1,0
"50",2017-12-10,10740423,49,"overall",1,0
"51",2017-12-17,10742340,50,"overall",1,0
"52",2017-12-24,10742424,51,"overall",1,0
"53",2017-12-31,10742005,52,"overall",1,0
"54",2018-01-07,10895530,53,"overall",1,0
"55",2018-01-14,10897005,54,"overall",1,0
"56",2018-01-21,10897336,55,"overall",1,0
"57",2018-01-28,10898537,56,"overall",1,0
"58",2018-02-04,10900778,57,"overall",1,0
"59",2018-02-11,10901751,58,"overall",1,0
"60",2018-02-18,10902458,59,"overall",1,0
"61",2018-02-25,10894977,60,"overall",1,0
"62",2018-03-04,10896589,61,"overall",1,0
"63",2018-03-11,10897957,62,"overall",1,0
"64",2018-03-18,10899741,63,"overall",1,0
"65",2018-03-25,10900870,64,"overall",1,0
"66",2018-04-01,10904968,65,"overall",1,0
"67",2018-04-08,10909499,66,"overall",1,0
"68",2018-04-15,10903656,67,"overall",1,0
"69",2018-04-22,10894465,68,"overall",1,0
"70",2018-04-29,10896042,69,"overall",1,0
"71",2018-05-06,10895945,70,"overall",1,0
"72",2018-05-13,10901301,71,"overall",1,0
"73",2018-05-20,10901579,72,"overall",1,0
"74",2018-05-27,10902319,73,"overall",1,0
"75",2018-06-03,10902924,74,"overall",1,0
"76",2018-06-10,10903785,75,"overall",1,0
"77",2018-06-17,10905086,76,"overall",1,0
"78",2018-06-24,10905279,77,"overall",1,0
"79",2018-07-01,10906849,78,"overall",1,0
"80",2018-07-08,10909449,79,"overall",1,0
"81",2018-07-15,10906544,80,"overall",1,0
"82",2018-07-22,10908966,81,"overall",1,0
"83",2018-07-29,10912569,82,"overall",1,0
"84",2018-08-05,10913432,83,"overall",1,0
"85",2018-08-12,10910849,84,"overall",1,0
"86",2018-08-19,10912776,85,"overall",1,0
"87",2018-08-26,10913560,86,"overall",1,0
"88",2018-09-02,10914445,87,"overall",1,0
"89",2018-09-09,10917886,88,"overall",1,0
"90",2018-09-16,10921967,89,"overall",1,0
"91",2018-09-23,10940666,90,"overall",1,0
"92",2018-09-30,10956113,91,"overall",1,0
"93",2018-10-07,10965179,92,"overall",1,0
"94",2018-10-14,10972263,93,"overall",1,0
"95",2018-10-21,10976388,94,"overall",1,0
"96",2018-10-28,10978223,95,"overall",1,0
"97",2018-11-04,10969353,96,"overall",1,0
"98",2018-11-11,10959428,97,"overall",1,0
"99",2018-11-18,10943899,98,"overall",1,0
"100",2018-11-25,10937265,99,"overall",1,0
"101",2018-12-02,10933647,100,"overall",1,0
"102",2018-12-09,10932590,101,"overall",1,0
"103",2018-12-16,10932176,102,"overall",1,0
"104",2018-12-23,10930547,103,"overall",1,0
"105",2018-12-30,10929623,104,"overall",1,0
"106",2019-01-06,11088749,105,"overall",1,0
"107",2019-01-13,11088278,106,"overall",1,0
"108",2019-01-20,11088576,107,"overall",1,0
"109",2019-01-27,11088505,108,"overall",1,0
"110",2019-02-03,11080770,109,"overall",1,0
"111",2019-02-10,11003667,110,"overall",1,0
"112",2019-02-17,11002876,111,"overall",1,0
"113",2019-02-24,10995531,112,"overall",1,0
"114",2019-03-03,10992605,113,"overall",1,0
"115",2019-03-10,10991853,114,"overall",1,0
"116",2019-03-17,10991467,115,"overall",1,0
"117",2019-03-24,10990307,116,"overall",1,0
"118",2019-03-31,10986199,117,"overall",1,0
"119",2019-04-07,10984604,118,"overall",1,0
"120",2019-04-14,10985161,119,"overall",1,0
"121",2019-04-21,10988802,120,"overall",1,0
"122",2019-04-28,10991285,121,"overall",1,0
"123",2019-05-05,10991402,122,"overall",1,0
"124",2019-05-12,10987312,123,"overall",1,0
"125",2019-05-19,10987815,124,"overall",1,0
"126",2019-05-26,10988063,125,"overall",1,0
"127",2019-06-02,10987710,126,"overall",1,0
"128",2019-06-09,10954616,127,"overall",1,0
"129",2019-06-16,10955741,128,"overall",1,0
"130",2019-06-23,10948869,129,"overall",1,0
"131",2019-06-30,10945124,130,"overall",1,0
"132",2019-07-07,10941582,131,"overall",1,0
"133",2019-07-14,10940129,132,"overall",1,0
"134",2019-07-21,10923749,133,"overall",1,0
"135",2019-07-28,10924538,134,"overall",1,0
"136",2019-08-04,10925076,135,"overall",1,0
"137",2019-08-11,10925188,136,"overall",1,0
"138",2019-08-18,10914308,137,"overall",1,0
"139",2019-08-25,10909248,138,"overall",1,0
"140",2019-09-01,10910119,139,"overall",1,0
"141",2019-09-08,10891815,140,"overall",1,0
"142",2019-09-15,10895874,141,"overall",1,0
"143",2019-09-22,10911283,142,"overall",1,0
"144",2019-09-29,10910539,143,"overall",1,0
"145",2019-10-06,10904239,144,"overall",1,0
"146",2019-10-13,10909273,145,"overall",1,0
"147",2019-10-20,10912117,146,"overall",1,0
"148",2019-10-27,10915983,147,"overall",1,0
"149",2019-11-03,10920357,148,"overall",1,0
"150",2019-11-10,10912600,149,"overall",1,0
"151",2019-11-17,10900957,150,"overall",1,0
"152",2019-11-24,10901639,151,"overall",1,0
"153",2019-12-01,10902882,152,"overall",1,0
"154",2019-12-08,10904280,153,"overall",1,0
"155",2019-12-15,10904771,154,"overall",1,0
"156",2019-12-22,10904993,155,"overall",1,0
"157",2019-12-29,10903870,156,"overall",1,0
"158",2020-01-05,11060235,157,"overall",1,0
"159",2020-01-12,11060281,158,"overall",1,0
"160",2020-01-19,11061618,159,"overall",1,0
"161",2020-01-26,11064624,160,"overall",1,0
"162",2020-02-02,11060398,161,"overall",1,0
"163",2020-02-09,11046696,162,"overall",1,0
"164",2020-02-16,11007137,163,"overall",1,0
"165",2020-02-23,11000913,164,"overall",1,0
"166",2020-03-01,10983886,165,"overall",1,0
"167",2020-03-08,10978224,166,"overall",1,0
"168",2020-03-15,10952254,167,"overall",1,0
"169",2020-03-22,10945285,168,"overall",1,0
"170",2020-03-29,10940158,169,"overall",1,1
"171",2020-04-05,10932836,170,"overall",1,1
"172",2020-04-12,10922789,171,"overall",1,1
"173",2020-04-19,10925428,172,"overall",1,1
"174",2020-04-26,10928229,173,"overall",1,1
"175",2020-05-03,10928816,174,"overall",1,1
"176",2020-05-10,10933836,175,"overall",1,1
"177",2020-05-17,10932158,176,"overall",1,1
"178",2020-05-24,10936740,177,"overall",1,1
"179",2020-05-31,10941677,178,"overall",1,1
"180",2020-06-07,10940013,179,"overall",1,1
"181",2020-06-14,10942102,180,"overall",1,1
"182",2020-06-21,10947899,181,"overall",1,1
"183",2020-06-28,10953905,182,"overall",1,1
"184",2020-07-05,10929873,183,"overall",1,1
"185",2020-07-12,10933660,184,"overall",1,1
"186",2020-07-19,10913458,185,"overall",1,1
"187",2020-07-26,10908453,186,"overall",1,1
"188",2020-08-02,10903360,187,"overall",1,1
"189",2020-08-09,10904114,188,"overall",1,1
"190",2020-08-16,10886330,189,"overall",1,1
"191",2020-08-23,10834796,190,"overall",1,1
"192",2020-08-30,10825746,191,"overall",1,1
"193",2020-09-06,10815263,192,"overall",1,1
"194",2020-09-13,10815985,193,"overall",1,1
"195",2020-09-20,10817435,194,"overall",1,1
"196",2020-09-27,10812058,195,"overall",1,1
"197",2020-10-04,10810343,196,"overall",1,1
"198",2020-10-11,10813457,197,"overall",1,1
"199",2020-10-18,10812909,198,"overall",1,1
"200",2020-10-25,10816428,199,"overall",1,1
"201",2020-11-01,10819928,200,"overall",1,1
"202",2020-11-08,10822961,201,"overall",1,1
"203",2020-11-15,10824732,202,"overall",1,1
"204",2020-11-22,10825398,203,"overall",1,1
"205",2020-11-29,10822846,204,"overall",1,1
"206",2020-12-06,10824220,205,"overall",1,1
"207",2020-12-13,10823766,206,"overall",1,1
"208",2020-12-20,10814396,207,"overall",1,1
"209",2020-12-27,10810130,208,"overall",1,1
"210",2021-01-03,10812744,209,"overall",1,1
"211",2021-01-10,10814088,210,"overall",1,1
"212",2021-01-17,10812855,211,"overall",1,1
"213",2021-01-24,10808220,212,"overall",1,1
"214",2021-01-31,10804547,213,"overall",1,1
"215",2021-02-07,10801730,214,"overall",1,1
"216",2021-02-14,10799577,215,"overall",1,1
"217",2021-02-21,10797459,216,"overall",1,1
"218",2021-02-28,10786413,217,"overall",1,1
"219",2021-03-07,10781236,218,"overall",1,1
"220",2021-03-14,10775843,219,"overall",1,1
"221",2021-03-21,10768052,220,"overall",1,1
"222",2021-03-28,10756335,221,"overall",1,1
"223",2021-04-04,10749102,222,"overall",1,1
"224",2021-04-11,10728952,223,"overall",1,1
"225",2021-04-18,10715615,224,"overall",1,1
