"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","24-May","1,870 (1,745 - 2,004)","1,463 (1,365 - 1,568)","407","2,080"
"","26-Jul","1,912 (1,787 - 2,045)","1,538 (1,444 - 1,640)","373","5,670"
"","","","","",""
"Depression","24-May","2,524 (2,353 - 2,706)","1,746 (1,628 - 1,873)","778","3,980"
"","26-Jul","2,632 (2,459 - 2,818)","1,905 (1,786 - 2,031)","728","11,000"
"","","","","",""
"Eating Disorders","24-May","47 (44 - 51)","38 (35 - 41)","<10","<100"
"","26-Jul","48 (44 - 51)","42 (39 - 45)","<10","119"
"","","","","",""
"OCD","24-May","29 (27 - 31)","26 (24 - 28)","<10","<100"
"","26-Jul","31 (28 - 33)","28 (26 - 30)","<10","<100"
"","","","","",""
"Self-harm","24-May","349 (325 - 376)","202 (188 - 218)","147","729"
"","26-Jul","428 (398 - 460)","245 (229 - 262)","183","2,360"
"","","","","",""
"Severe Mental Illness","24-May","192 (181 - 204)","177 (166 - 188)","<100","<100"
"","26-Jul","206 (194 - 218)","188 (178 - 199)","<100","236"
"","","","","",""
