"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","07-Jun","1,989 (1,869 - 2,118)","1,587 (1,476 - 1,707)","402","1,960"
"","09-Aug","1,789 (1,675 - 1,911)","1,464 (1,372 - 1,562)","325","5,240"
"","","","","",""
"Depression","07-Jun","2,742 (2,573 - 2,921)","1,964 (1,816 - 2,123)","778","3,740"
"","09-Aug","2,429 (2,271 - 2,598)","1,810 (1,690 - 1,939)","619","10,000"
"","","","","",""
"Eating Disorders","07-Jun","49 (45 - 52)","41 (37 - 44)","<10","<100"
"","09-Aug","43 (40 - 46)","38 (36 - 41)","<10","<100"
"","","","","",""
"OCD","07-Jun","31 (29 - 33)","27 (25 - 30)","<10","<100"
"","09-Aug","27 (25 - 29)","25 (23 - 27)","<10","<100"
"","","","","",""
"Self-harm","07-Jun","425 (398 - 454)","259 (240 - 280)","166","694"
"","09-Aug","375 (350 - 402)","226 (211 - 242)","148","2,140"
"","","","","",""
"Severe Mental Illness","07-Jun","209 (198 - 221)","193 (181 - 206)","<100","<100"
"","09-Aug","189 (178 - 200)","174 (164 - 184)","<100","216"
"","","","","",""
