"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","28-Feb","1,976 (1,257 - 3,106)","1,881 (1,663 - 2,127)","<100","901"
"","25-Apr","1,547 (790 - 3,030)","1,752 (1,531 - 2,005)","-204","270"
"","","","","",""
"Depression","28-Feb","2,554 (1,597 - 4,084)","2,375 (2,089 - 2,700)","179","1,520"
"","25-Apr","1,894 (931 - 3,856)","2,161 (1,878 - 2,485)","-266","856"
"","","","","",""
"Eating Disorders","28-Feb","69 (42 - 114)","59 (52 - 68)","<10","<100"
"","25-Apr","61 (29 - 130)","59 (51 - 69)","<10","<100"
"","","","","",""
"OCD","28-Feb","35 (20 - 62)","34 (29 - 40)","<10","<100"
"","25-Apr","25 (11 - 60)","29 (24 - 35)",">-10",">-10"
"","","","","",""
"Self-harm","28-Feb","272 (185 - 401)","241 (215 - 271)","<100","<100"
"","25-Apr","302 (167 - 546)","217 (190 - 246)","<100","589"
"","","","","",""
"Severe Mental Illness","28-Feb","197 (126 - 307)","207 (183 - 233)",">-100",">-100"
"","25-Apr","157 (82 - 298)","168 (147 - 192)",">-100","-132"
"","","","","",""
