"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","28-Feb","1,709 (1,217 - 2,400)","1,881 (1,709 - 2,069)","-172","-408"
"","25-Apr","1,289 (766 - 2,169)","1,730 (1,558 - 1,921)","-441","-2,980"
"","","","","",""
"Depression","28-Feb","2,255 (1,585 - 3,209)","2,375 (2,145 - 2,629)","-119","<100"
"","25-Apr","1,625 (936 - 2,823)","2,143 (1,919 - 2,393)","-518","-2,700"
"","","","","",""
"Eating Disorders","28-Feb","63 (44 - 90)","59 (53 - 65)","<10","<100"
"","25-Apr","57 (33 - 99)","58 (52 - 65)",">-10","<100"
"","","","","",""
"OCD","28-Feb","33 (21 - 52)","34 (30 - 39)",">-10","<10"
"","25-Apr","23 (11 - 47)","29 (25 - 34)",">-10",">-100"
"","","","","",""
"Self-harm","28-Feb","273 (190 - 391)","241 (216 - 268)","<100","<100"
"","25-Apr","306 (177 - 531)","216 (191 - 243)","<100","623"
"","","","","",""
"Severe Mental Illness","28-Feb","175 (128 - 238)","205 (187 - 224)",">-100","-152"
"","25-Apr","140 (88 - 223)","166 (150 - 183)",">-100","-370"
"","","","","",""
