"outcome","weekPlot","col1","col3","col5","col6"
"Anxiety","28-Feb","1,726 (1,256 - 2,373)","1,876 (1,715 - 2,052)","-150","-326"
"","25-Apr","1,320 (796 - 2,189)","1,728 (1,563 - 1,911)","-408","-2,670"
"","","","","",""
"Depression","28-Feb","2,286 (1,647 - 3,174)","2,363 (2,151 - 2,596)",">-100","209"
"","25-Apr","1,688 (988 - 2,884)","2,135 (1,922 - 2,372)","-447","-2,090"
"","","","","",""
"Eating Disorders","28-Feb","63 (45 - 89)","59 (53 - 65)","<10","<100"
"","25-Apr","58 (34 - 100)","58 (52 - 65)",">-10","<100"
"","","","","",""
"OCD","28-Feb","32 (21 - 50)","34 (30 - 39)",">-10",">-10"
"","25-Apr","22 (11 - 45)","29 (25 - 33)",">-10",">-100"
"","","","","",""
"Self-harm","28-Feb","265 (186 - 377)","242 (218 - 268)","<100","<100"
"","25-Apr","288 (165 - 502)","216 (192 - 243)","<100","470"
"","","","","",""
"Severe Mental Illness","28-Feb","175 (130 - 235)","205 (188 - 223)",">-100","-152"
"","25-Apr","141 (90 - 221)","165 (149 - 183)",">-100","-364"
"","","","","",""
